Exercício: 2022
Período: 6o. bimestre
Escopo: Capitais
Anexo 03 - Demonstrativo da Receita Corrente Líquida
Tabela: Receita Corrente Líquida
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";115006951,05
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";11780476,86
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"IPTU";"siconfi-cor_IPTULiquidoExcetoTransferenciasEFUNDEB";1951472,82
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"ISS";"siconfi-cor_ISSLiquidoExcetoTransferenciasEFUNDEB";7283480,56
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"ITBI";"siconfi-cor_ITBILiquidoExcetoTransferenciasEFUNDEB";631476,7
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"IRRF";"siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB";1585944,9
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_OutrasReceitasTributarias";328101,88
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Contribuições";"siconfi-cor_RREO3ReceitaDeContribuicoes";2765669,21
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Receita Patrimonial";"siconfi-cor_RREO3ReceitaPatrimonial";14354202,17
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Rendimentos de Aplicação Financeira";"siconfi-cor_RendimentosDeAplicacaoFinanceira";14150371,93
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";203830,24
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Receita de Serviços";"siconfi-cor_RREO3ReceitaDeServicos";689109,96
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Transferências Correntes";"siconfi-cor_RREO3TransferenciasCorrentes";85048583,17
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Cota-Parte do FPM";"siconfi-cor_RREO3CotaParteDoFPM";45682066,5
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Cota-Parte do ICMS";"siconfi-cor_RREO3CotaParteDoICMS";18588626,92
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Cota-Parte do IPVA";"siconfi-cor_RREO3CotaParteDoIPVA";3118334,3
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Cota-Parte do ITR";"siconfi-cor_RREO3CotaParteDoITR";7128,24
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Transferências da LC nº 61/1989";"siconfi-cor_RREO3TransferenciasDaLC611989";11828,00
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Transferências do FUNDEB";"siconfi-cor_RREO3TransferenciasDoFUNDEB";12570075,06
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Outras Transferências Correntes";"siconfi-cor_RREO3OutrasTransferenciasCorrentes";5070524,15
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Outras Receitas Correntes";"siconfi-cor_RREO3OutrasReceitasCorrentes";368909,68
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"DEDUÇÕES (II)";"siconfi-cor_DeducoesDaReceitaCorrenteLiquida";25336135,07
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Contrib. do Servidor para o Plano de Previdência";"siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia";808711,98
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Compensações Financ. entre Regimes Previdência";"siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia";9563,32
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Rendimentos de Aplicações de Recursos Previdenciários";"siconfi-cor_RendimentosDeAplicacoesDeRecursosPrevidenciarios";11036263,15
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"Dedução de Receita para Formação do FUNDEB";"siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB";13481596,62
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"RECEITA CORRENTE LÍQUIDA (III) = (I - II)";"siconfi-cor_RREO3ReceitaCorrenteLiquida";89670815,98
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV)";"siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento";89670815,98
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-11>";"RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (V - VI)";"siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal";89670815,98
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";135547505,46
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";16047632,01
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"IPTU";"siconfi-cor_IPTULiquidoExcetoTransferenciasEFUNDEB";2271086,74
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"ISS";"siconfi-cor_ISSLiquidoExcetoTransferenciasEFUNDEB";7514775,94
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"ITBI";"siconfi-cor_ITBILiquidoExcetoTransferenciasEFUNDEB";756034,78
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"IRRF";"siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB";5250070,54
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_OutrasReceitasTributarias";255664,01
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Contribuições";"siconfi-cor_RREO3ReceitaDeContribuicoes";5877000,86
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Receita Patrimonial";"siconfi-cor_RREO3ReceitaPatrimonial";7521262,81
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Rendimentos de Aplicação Financeira";"siconfi-cor_RendimentosDeAplicacaoFinanceira";7453044,01
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";68218,8
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Receita de Serviços";"siconfi-cor_RREO3ReceitaDeServicos";617289,55
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Transferências Correntes";"siconfi-cor_RREO3TransferenciasCorrentes";105297185,59
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Cota-Parte do FPM";"siconfi-cor_RREO3CotaParteDoFPM";63769121,59
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Cota-Parte do ICMS";"siconfi-cor_RREO3CotaParteDoICMS";15368485,13
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Cota-Parte do IPVA";"siconfi-cor_RREO3CotaParteDoIPVA";3651482,38
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Cota-Parte do ITR";"siconfi-cor_RREO3CotaParteDoITR";3593,38
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Transferências da LC nº 61/1989";"siconfi-cor_RREO3TransferenciasDaLC611989";10576,21
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Transferências do FUNDEB";"siconfi-cor_RREO3TransferenciasDoFUNDEB";16145654,21
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Outras Transferências Correntes";"siconfi-cor_RREO3OutrasTransferenciasCorrentes";6348272,69
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Outras Receitas Correntes";"siconfi-cor_RREO3OutrasReceitasCorrentes";187134,64
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"DEDUÇÕES (II)";"siconfi-cor_DeducoesDaReceitaCorrenteLiquida";23817363,6
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Contrib. do Servidor para o Plano de Previdência";"siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia";4066553,99
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Compensações Financ. entre Regimes Previdência";"siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia";14672,62
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Rendimentos de Aplicações de Recursos Previdenciários";"siconfi-cor_RendimentosDeAplicacoesDeRecursosPrevidenciarios";3175647,15
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"Dedução de Receita para Formação do FUNDEB";"siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB";16560489,84
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"RECEITA CORRENTE LÍQUIDA (III) = (I - II)";"siconfi-cor_RREO3ReceitaCorrenteLiquida";111730141,86
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV)";"siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento";111730141,86
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-10>";"RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (V - VI)";"siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal";111730141,86
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-9>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";151802432,11
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-9>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";31521681,45
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-9>";"IPTU";"siconfi-cor_IPTULiquidoExcetoTransferenciasEFUNDEB";18293030,08
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-9>";"ISS";"siconfi-cor_ISSLiquidoExcetoTransferenciasEFUNDEB";8634885,8
Prefeitura Municipal de Rio Branco - AC;1200401;AC;419452;"<MR-9>";"ITBI";"siconfi-cor_ITBILiquidoExcetoTransferenciasEFUNDEB";674741,93
